gutenberg_id,text
11,[Illustration]
11,
11,
11,
11,
11,Alice’s Adventures in Wonderland
11,
11,by Lewis Carroll
11,
11,THE MILLENNIUM FULCRUM EDITION 3.0
11,
11,Contents
11,
11, CHAPTER I.     Down the Rabbit-Hole
11, CHAPTER II.    The Pool of Tears
11, CHAPTER III.   A Caucus-Race and a Long Tale
11, CHAPTER IV.    The Rabbit Sends in a Little Bill
11, CHAPTER V.     Advice from a Caterpillar
11, CHAPTER VI.    Pig and Pepper
11, CHAPTER VII.   A Mad Tea-Party
11, CHAPTER VIII.  The Queen’s Croquet-Ground
11, CHAPTER IX.    The Mock Turtle’s Story
11, CHAPTER X.     The Lobster Quadrille
11, CHAPTER XI.    Who Stole the Tarts?
11, CHAPTER XII.   Alice’s Evidence
11,
11,
11,
11,
11,CHAPTER I.
11,Down the Rabbit-Hole
11,
11,
11,Alice was beginning to get very tired of sitting by her sister on the
11,"bank, and of having nothing to do: once or twice she had peeped into"
11,"the book her sister was reading, but it had no pictures or"
11,"conversations in it, “and what is the use of a book,” thought Alice"
11,“without pictures or conversations?”
11,
11,"So she was considering in her own mind (as well as she could, for the"
11,"hot day made her feel very sleepy and stupid), whether the pleasure of"
11,making a daisy-chain would be worth the trouble of getting up and
11,"picking the daisies, when suddenly a White Rabbit with pink eyes ran"
11,close by her.
11,
11,There was nothing so _very_ remarkable in that; nor did Alice think it
11,"so _very_ much out of the way to hear the Rabbit say to itself, “Oh"
11,"dear! Oh dear! I shall be late!” (when she thought it over afterwards,"
11,"it occurred to her that she ought to have wondered at this, but at the"
11,time it all seemed quite natural); but when the Rabbit actually _took a
11,"watch out of its waistcoat-pocket_, and looked at it, and then hurried"
11,"on, Alice started to her feet, for it flashed across her mind that she"
11,"had never before seen a rabbit with either a waistcoat-pocket, or a"
11,"watch to take out of it, and burning with curiosity, she ran across the"
11,"field after it, and fortunately was just in time to see it pop down a"
11,large rabbit-hole under the hedge.
11,
11,"In another moment down went Alice after it, never once considering how"
11,in the world she was to get out again.
11,
11,"The rabbit-hole went straight on like a tunnel for some way, and then"
11,"dipped suddenly down, so suddenly that Alice had not a moment to think"
11,about stopping herself before she found herself falling down a very
11,deep well.
11,
11,"Either the well was very deep, or she fell very slowly, for she had"
11,plenty of time as she went down to look about her and to wonder what
11,"was going to happen next. First, she tried to look down and make out"
11,"what she was coming to, but it was too dark to see anything; then she"
11,"looked at the sides of the well, and noticed that they were filled with"
11,cupboards and book-shelves; here and there she saw maps and pictures
11,hung upon pegs. She took down a jar from one of the shelves as she
11,"passed; it was labelled “ORANGE MARMALADE”, but to her great"
11,disappointment it was empty: she did not like to drop the jar for fear
11,"of killing somebody underneath, so managed to put it into one of the"
11,cupboards as she fell past it.
11,
11,"“Well!” thought Alice to herself, “after such a fall as this, I shall"
11,think nothing of tumbling down stairs! How brave they’ll all think me
11,"at home! Why, I wouldn’t say anything about it, even if I fell off the"
11,top of the house!” (Which was very likely true.)
11,
11,"Down, down, down. Would the fall _never_ come to an end? “I wonder how"
11,many miles I’ve fallen by this time?” she said aloud. “I must be
11,getting somewhere near the centre of the earth. Let me see: that would
11,"be four thousand miles down, I think—” (for, you see, Alice had learnt"
11,"several things of this sort in her lessons in the schoolroom, and"
11,though this was not a _very_ good opportunity for showing off her
11,"knowledge, as there was no one to listen to her, still it was good"
11,"practice to say it over) “—yes, that’s about the right distance—but"
11,then I wonder what Latitude or Longitude I’ve got to?” (Alice had no
11,"idea what Latitude was, or Longitude either, but thought they were nice"
11,grand words to say.)
11,
11,Presently she began again. “I wonder if I shall fall right _through_
11,the earth! How funny it’ll seem to come out among the people that walk
11,"with their heads downward! The Antipathies, I think—” (she was rather"
11,"glad there _was_ no one listening, this time, as it didn’t sound at all"
11,the right word) “—but I shall have to ask them what the name of the
11,"country is, you know. Please, Ma’am, is this New Zealand or Australia?”"
11,(and she tried to curtsey as she spoke—fancy _curtseying_ as you’re
11,falling through the air! Do you think you could manage it?) “And what
11,"an ignorant little girl she’ll think me for asking! No, it’ll never do"
11,to ask: perhaps I shall see it written up somewhere.”
11,
11,"Down, down, down. There was nothing else to do, so Alice soon began"
11,"talking again. “Dinah’ll miss me very much to-night, I should think!”"
11,(Dinah was the cat.) “I hope they’ll remember her saucer of milk at
11,tea-time. Dinah my dear! I wish you were down here with me! There are
